Paragonimus miyazakii
Paragonimus westermani
Pararge aegeria
Parasteatoda tepidariorum
Parnassius apollo
Patiria miniata
Pecten maximus
Pediculus humanus corporis
Penaeus monodon
Penaeus vannamei
Phallusia mammillata
Photinus pyralis
Pieris macdunnoughi
Pieris rapae
Plakobranchus ocellatus
Pleurobrachia bachei
Plutella xylostella
Pocillopora damicornis
Pogonomyrmex barbatus
Polistes canadensis
Polistes dominula
Pollicipes pollicipes
Polypedilum vanderplanki
Pomacea canaliculata
Portunus trituberculatus
Priapulus caudatus
Pristionchus pacificus
Pseudoatta argentina
Pseudomyrmex gracilis
Ramazzottius varieornatus
Rhagoletis zephyria
Rhipicephalus microplus
Rhipicephalus sanguineus
Rhopalosiphum maidis
Rhynchophorus ferrugineus
Rotaria magnacalcarata
Rotaria socialis
Rotaria sordida
Rotaria sp. Silwood1
Rotaria sp. Silwood2
Saccoglossus kowalevskii
Sarcophaga bullata
Sarcoptes scabiei
Scaptodrosophila lebanonensis
Schistocephalus solidus
Schistosoma bovis
Schistosoma curassoni
Schistosoma haematobium
Schistosoma japonicum
Schistosoma mansoni
Schistosoma margrebowiei
Schistosoma mattheei
Sepia pharaonis
Sipha flava
Sitophilus oryzae
Solenopsis invicta
Sparganum proliferum
Spirometra erinaceieuropaei
Spodoptera exigua
Spodoptera frugiperda
Spodoptera litura
Stegodyphus dumicola
Stegodyphus mimosarum
Steinernema carpocapsae
Stomoxys calcitrans
Strongylocentrotus purpuratus
Strongyloides ratti
Strongylus vulgaris
Styela clava
Stylophora pistillata
Suberites domuncula
Sycon ciliatum
Taenia asiatica
Teladorsagia circumcincta
Teleopsis dalmanni
Temnothorax curvispinosus
Temnothorax longispinosus
Tetranychus urticae
Thelazia callipaeda
Thelohanellus kitauei
Thrips palmi
Tigriopus californicus
Timema californicum
Timema shepardi
Toxocara canis
Trachymyrmex cornetzi
Trachymyrmex septentrionalis
Trachymyrmex zeteki
Tribolium castaneum
Trichinella britovi
Trichinella murrelli
Trichinella nativa
Trichinella nelsoni
Trichinella papuae
Trichinella patagoniensis
Trichinella pseudospiralis
Trichinella sp. T9
Trichinella spiralis
Trichinella zimbabwensis
Trichobilharzia regenti
Trichogramma brassicae
Trichogramma pretiosum
Trichomalopsis sarcophagae
Trichoplax adhaerens
Trichoplax sp. H2
Trichoplusia ni
Trichuris suis
Trichuris trichiura
Trinorchestia longiramus
Tropilaelaps mercedesae
Vanessa tameamea
Varroa destructor
Vespa mandarinia
Vespula germanica
Vespula pensylvanica
Vespula vulgaris
Vollenhovia emeryi
Wasmannia auropunctata
Wuchereria bancrofti
Xestospongia testudinaria
Zerene cesonia
Zeugodacus cucurbitae
Zootermopsis nevadensis
