Species	Trait
Drosophila_rhopaloa	PNC1_Only
Drosophila_sechellia	PNC1_Only
Drosophila_simulans	PNC1_Only
Drosophila_subobscura	PNC1_Only
Drosophila_subpulchrella	PNC1_Only
Drosophila_suzukii	PNC1_Only
Drosophila_takahashii	PNC1_Only
Drosophila_virilis	PNC1_Only
Drosophila_willistoni	PNC1_Only
Drosophila_yakuba	PNC1_Only
Dufourea_novaeangliae	PNC1_Only
Echinococcus_granulosus	NAMPT_Only
Echinococcus_multilocularis	NAMPT_Only
Echinostoma_caproni	PNC1_Only
Elysia_chlorotica	Both
Elysia_marginata	Both
Enterobius_vermicularis	NAMPT_Only
Ephemera_danica	PNC1_Only
Ephydatia_muelleri	NAMPT_Only
Eufriesea_mexicana	PNC1_Only
Eumeta_japonica	PNC1_Only
Euroglyphus_maynei	PNC1_Only
Eurytemora_affinis	Both
Exaiptasia_diaphana	Both
Exaiptasia_pallida	Both
Fasciola_gigantica	Both
Fasciola_hepatica	NAMPT_Only
Fasciolopsis_buski	NAMPT_Only
Folsomia_candida	PNC1_Only
Fonticula_alba	NAMPT_Only
Fopius_arisanus	PNC1_Only
Formica_exsecta	PNC1_Only
Frankliniella_occidentalis	PNC1_Only
Frieseomelitta_varia	PNC1_Only
Galendromus_occidentalis	PNC1_Only
Gigantopelta_aegis	Both
Glossina_fuscipes	PNC1_Only
Gongylonema_pulchrum	NAMPT_Only
Gonioctena_quinquepunctata	PNC1_Only
Habropoda_laboriosa	PNC1_Only
Haemonchus_contortus	Both
Haemonchus_placei	Both
Halicephalobus_sp._NKZ332	PNC1_Only
Halichondria_panicea	NAMPT_Only
Haliclona_amboinensis	NAMPT_Only
Haliclona_tubifera	NAMPT_Only
Halisarca_dujardini	NAMPT_Only
Halisarca_dujardinii	NAMPT_Only
Halyomorpha_halys	PNC1_Only
Harpegnathos_saltator	PNC1_Only
Helicoverpa_armigera	PNC1_Only
Heligmosomoides_polygyrus	Both
Heliothis_virescens	PNC1_Only
Helobdella_robusta	Both
Henneguya_salminicola	PNC1_Only
Hermetia_illucens	PNC1_Only
Homarus_americanus	Both
Homo_sapiens	NAMPT_Only
Hyalella_azteca	PNC1_Only
Hydatigera_taeniaeformis	NAMPT_Only
Hydra_vulgaris	PNC1_Only
Hymenolepis_diminuta	NAMPT_Only
